Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
bella-diamond-gray-shadow,Bella Diamond Gray Shadow Contact Lenses,"<p>Seductive gray shade with a soft limbal ring for an enchanting eye enlargement look.</p><p dir=""rtl"" lang=""ar"">درجة رمادية ساحرة مع تحديد ناعم لتوسيع شكل العين وإبراز جمالها الطبيعي.</p><ul><li><strong>Replacement Schedule:</strong> 3 MONTHS</li><li><strong>Pack Size:</strong> 2 Lenses</li><li><strong>Base Curve (BC):</strong> 8.6 mm</li><li><strong>Diameter (DIA):</strong> 14.5 mm</li><li><strong>Water Content:</strong> 38%</li><li><strong>Color:</strong> Gray Shadow (جراي شادو)</li></ul>",Bella,Health & Beauty > Personal Care > Vision Care,Colored Contact Lenses,"EyeNova, Qatar Luxury, Doha, colored-lenses, beauty, cosmetic, Bella",TRUE,Power / Sphere (SPH),Plano (0.00),,,,,BEL-DIA-GRY-01-0_00,100,shopify,50,deny,manual,130,145,TRUE,FALSE,,https://images.unsplash.com/photo-1534528741775-53994a69daeb?w=600&auto=format&fit=crop,1,Bella Diamond Gray Shadow Contact Lenses,FALSE,active
bella-diamond-gray-shadow,,,,,,,,Power / Sphere (SPH),-0.50,,,,,BEL-DIA-GRY-01--0_50,100,shopify,50,deny,manual,130,145,TRUE,FALSE,,,,,FALSE,active
bella-diamond-gray-shadow,,,,,,,,Power / Sphere (SPH),-0.75,,,,,BEL-DIA-GRY-01--0_75,100,shopify,50,deny,manual,130,145,TRUE,FALSE,,,,,FALSE,active
bella-diamond-gray-shadow,,,,,,,,Power / Sphere (SPH),-1.00,,,,,BEL-DIA-GRY-01--1_00,100,shopify,50,deny,manual,130,145,TRUE,FALSE,,,,,FALSE,active
bella-diamond-gray-shadow,,,,,,,,Power / Sphere (SPH),-1.25,,,,,BEL-DIA-GRY-01--1_25,100,shopify,50,deny,manual,130,145,TRUE,FALSE,,,,,FALSE,active
bella-diamond-gray-shadow,,,,,,,,Power / Sphere (SPH),-1.50,,,,,BEL-DIA-GRY-01--1_50,100,shopify,50,deny,manual,130,145,TRUE,FALSE,,,,,FALSE,active
bella-diamond-gray-shadow,,,,,,,,Power / Sphere (SPH),-1.75,,,,,BEL-DIA-GRY-01--1_75,100,shopify,50,deny,manual,130,145,TRUE,FALSE,,,,,FALSE,active
bella-diamond-gray-shadow,,,,,,,,Power / Sphere (SPH),-2.00,,,,,BEL-DIA-GRY-01--2_00,100,shopify,50,deny,manual,130,145,TRUE,FALSE,,,,,FALSE,active
bella-diamond-gray-shadow,,,,,,,,Power / Sphere (SPH),-2.25,,,,,BEL-DIA-GRY-01--2_25,100,shopify,50,deny,manual,130,145,TRUE,FALSE,,,,,FALSE,active
bella-diamond-gray-shadow,,,,,,,,Power / Sphere (SPH),-2.50,,,,,BEL-DIA-GRY-01--2_50,100,shopify,50,deny,manual,130,145,TRUE,FALSE,,,,,FALSE,active
